id,category_id,name,price,created_at,updated_at
1,4,rather,34.76,2024-10-31 13:00:00,2024-10-31 13:00:00
2,9,decision,252.44,2024-10-31 13:00:00,2024-10-31 13:00:00
3,5,something,739.11,2024-10-31 13:00:00,2024-10-31 13:00:00
4,18,field,96.07,2024-10-31 13:00:00,2024-10-31 13:00:00
5,14,full,41.46,2024-10-31 13:00:00,2024-10-31 13:00:00
6,3,feeling,226.45,2024-10-31 13:00:00,2024-10-31 13:00:00
7,17,race,606.0,2024-10-31 13:00:00,2024-10-31 13:00:00
8,18,artist,206.85,2024-10-31 13:00:00,2024-10-31 13:00:00
9,18,whatever,425.32,2024-10-31 13:00:00,2024-10-31 13:00:00
10,15,specific,593.37,2024-10-31 13:00:00,2024-10-31 13:00:00
11,1,behind,761.22,2024-10-31 13:00:00,2024-10-31 13:00:00
12,6,reach,701.16,2024-10-31 13:00:00,2024-10-31 13:00:00
13,11,painting,285.09,2024-10-31 13:00:00,2024-10-31 13:00:00
14,7,each,957.64,2024-10-31 13:00:00,2024-10-31 13:00:00
15,11,nor,111.19,2024-10-31 13:00:00,2024-10-31 13:00:00
16,13,single,105.75,2024-10-31 13:00:00,2024-10-31 13:00:00
17,12,several,607.69,2024-10-31 13:00:00,2024-10-31 13:00:00
18,2,to,732.43,2024-10-31 13:00:00,2024-10-31 13:00:00
19,18,write,133.58,2024-10-31 13:00:00,2024-10-31 13:00:00
20,13,always,88.01,2024-10-31 13:00:00,2024-10-31 13:00:00
21,10,white,831.11,2024-10-31 13:00:00,2024-10-31 13:00:00
22,20,will,886.6,2024-10-31 13:00:00,2024-10-31 13:00:00
23,12,continue,581.58,2024-10-31 13:00:00,2024-10-31 13:00:00
24,3,key,55.37,2024-10-31 13:00:00,2024-10-31 13:00:00
25,8,us,775.34,2024-10-31 13:00:00,2024-10-31 13:00:00
26,3,third,856.76,2024-10-31 13:00:00,2024-10-31 13:00:00
27,4,control,386.32,2024-10-31 13:00:00,2024-10-31 13:00:00
28,15,world,639.33,2024-10-31 13:00:00,2024-10-31 13:00:00
29,12,wide,171.03,2024-10-31 13:00:00,2024-10-31 13:00:00
30,12,although,217.41,2024-10-31 13:00:00,2024-10-31 13:00:00
31,9,think,704.8,2024-10-31 13:00:00,2024-10-31 13:00:00
32,3,industry,613.04,2024-10-31 13:00:00,2024-10-31 13:00:00
33,6,store,538.8,2024-10-31 13:00:00,2024-10-31 13:00:00
34,8,mission,171.77,2024-10-31 13:00:00,2024-10-31 13:00:00
35,13,cultural,277.25,2024-10-31 13:00:00,2024-10-31 13:00:00
36,18,write,227.42,2024-10-31 13:00:00,2024-10-31 13:00:00
37,11,smile,844.42,2024-10-31 13:00:00,2024-10-31 13:00:00
38,2,turn,236.76,2024-10-31 13:00:00,2024-10-31 13:00:00
39,2,with,807.0,2024-10-31 13:00:00,2024-10-31 13:00:00
40,13,figure,275.06,2024-10-31 13:00:00,2024-10-31 13:00:00
41,7,under,914.0,2024-10-31 13:00:00,2024-10-31 13:00:00
42,19,always,877.6,2024-10-31 13:00:00,2024-10-31 13:00:00
43,11,act,220.5,2024-10-31 13:00:00,2024-10-31 13:00:00
44,16,fire,401.68,2024-10-31 13:00:00,2024-10-31 13:00:00
45,15,out,151.44,2024-10-31 13:00:00,2024-10-31 13:00:00
46,5,player,254.16,2024-10-31 13:00:00,2024-10-31 13:00:00
47,18,both,543.59,2024-10-31 13:00:00,2024-10-31 13:00:00
48,19,without,434.15,2024-10-31 13:00:00,2024-10-31 13:00:00
49,19,government,405.41,2024-10-31 13:00:00,2024-10-31 13:00:00
50,8,feel,997.35,2024-10-31 13:00:00,2024-10-31 13:00:00
51,5,look,514.43,2024-10-31 13:00:00,2024-10-31 13:00:00
52,3,put,758.22,2024-10-31 13:00:00,2024-10-31 13:00:00
53,4,of,161.31,2024-10-31 13:00:00,2024-10-31 13:00:00
54,6,need,794.16,2024-10-31 13:00:00,2024-10-31 13:00:00
55,14,minute,600.44,2024-10-31 13:00:00,2024-10-31 13:00:00
56,13,visit,387.8,2024-10-31 13:00:00,2024-10-31 13:00:00
57,15,wrong,533.82,2024-10-31 13:00:00,2024-10-31 13:00:00
58,18,center,862.17,2024-10-31 13:00:00,2024-10-31 13:00:00
59,1,today,683.48,2024-10-31 13:00:00,2024-10-31 13:00:00
60,4,mother,684.89,2024-10-31 13:00:00,2024-10-31 13:00:00
61,18,management,753.37,2024-10-31 13:00:00,2024-10-31 13:00:00
62,11,explain,120.44,2024-10-31 13:00:00,2024-10-31 13:00:00
63,14,data,166.58,2024-10-31 13:00:00,2024-10-31 13:00:00
64,1,table,954.28,2024-10-31 13:00:00,2024-10-31 13:00:00
65,9,budget,972.17,2024-10-31 13:00:00,2024-10-31 13:00:00
66,6,give,512.6,2024-10-31 13:00:00,2024-10-31 13:00:00
67,4,commercial,871.81,2024-10-31 13:00:00,2024-10-31 13:00:00
68,10,side,843.25,2024-10-31 13:00:00,2024-10-31 13:00:00
69,17,low,612.88,2024-10-31 13:00:00,2024-10-31 13:00:00
70,5,raise,380.17,2024-10-31 13:00:00,2024-10-31 13:00:00
71,6,even,543.99,2024-10-31 13:00:00,2024-10-31 13:00:00
72,17,serious,919.31,2024-10-31 13:00:00,2024-10-31 13:00:00
73,20,cultural,330.91,2024-10-31 13:00:00,2024-10-31 13:00:00
74,1,address,120.75,2024-10-31 13:00:00,2024-10-31 13:00:00
75,12,since,879.93,2024-10-31 13:00:00,2024-10-31 13:00:00
76,10,green,247.06,2024-10-31 13:00:00,2024-10-31 13:00:00
77,8,street,879.23,2024-10-31 13:00:00,2024-10-31 13:00:00
78,3,find,94.8,2024-10-31 13:00:00,2024-10-31 13:00:00
79,16,out,817.86,2024-10-31 13:00:00,2024-10-31 13:00:00
80,18,represent,768.18,2024-10-31 13:00:00,2024-10-31 13:00:00
81,5,sometimes,663.15,2024-10-31 13:00:00,2024-10-31 13:00:00
82,18,data,173.48,2024-10-31 13:00:00,2024-10-31 13:00:00
83,17,continue,873.71,2024-10-31 13:00:00,2024-10-31 13:00:00
84,14,popular,964.72,2024-10-31 13:00:00,2024-10-31 13:00:00
85,18,total,757.71,2024-10-31 13:00:00,2024-10-31 13:00:00
86,7,purpose,715.82,2024-10-31 13:00:00,2024-10-31 13:00:00
87,13,watch,995.2,2024-10-31 13:00:00,2024-10-31 13:00:00
88,12,into,443.72,2024-10-31 13:00:00,2024-10-31 13:00:00
89,17,the,456.97,2024-10-31 13:00:00,2024-10-31 13:00:00
90,8,late,232.45,2024-10-31 13:00:00,2024-10-31 13:00:00
